tumbol_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,sum_rain_y
100303.0,0.0,7.26,16.93,20.73,62.13,7.02,15.72,13.65,36.49,1.2,162.7,32.72,121.28,129.79,72.41,92.25,42.55,66.13,83.65,79.74,101.22,175.1,63.77,90.78,123.49,104.61,226.75,226.15,21.25,57.37,3.39,70.7,108.17,26.09,2.6,0.0,2465.7899999999995
100304.0,0.0,7.26,16.93,20.73,62.13,7.02,15.72,13.65,36.49,1.2,162.7,32.72,121.28,129.79,72.41,92.25,42.55,66.13,83.65,79.74,101.22,175.1,63.77,90.78,123.49,104.61,226.75,226.15,21.25,57.37,3.39,70.7,108.17,26.09,2.6,0.0,2465.7899999999995
100305.0,0.0,7.26,16.93,20.73,62.13,7.02,15.72,13.65,36.49,1.2,162.7,32.72,121.28,129.79,72.41,92.25,42.55,66.13,83.65,79.74,101.22,175.1,63.77,90.78,123.49,104.61,226.75,226.15,21.25,57.37,3.39,70.7,108.17,26.09,2.6,0.0,2465.7899999999995
100306.0,0.0,7.26,16.93,20.73,62.13,7.02,15.72,13.65,36.49,1.2,162.7,32.72,121.28,129.79,72.41,92.25,42.55,66.13,83.65,79.74,101.22,175.1,63.77,90.78,123.49,104.61,226.75,226.15,21.25,57.37,3.39,70.7,108.17,26.09,2.6,0.0,2465.7899999999995
100307.0,0.0,7.26,16.93,20.73,62.13,7.02,15.72,13.65,36.49,1.2,162.7,32.72,121.28,129.79,72.41,92.25,42.55,66.13,83.65,79.74,101.22,175.1,63.77,90.78,123.49,104.61,226.75,226.15,21.25,57.37,3.39,70.7,108.17,26.09,2.6,0.0,2465.7899999999995
100308.0,0.0,7.26,16.93,20.73,62.13,7.02,15.72,13.65,36.49,1.2,162.7,32.72,121.28,129.79,72.41,92.25,42.55,66.13,83.65,79.74,101.22,175.1,63.77,90.78,123.49,104.61,226.75,226.15,21.25,57.37,3.39,70.7,108.17,26.09,2.6,0.0,2465.7899999999995
100401.0,0.0,3.52,18.21,20.67,61.17,4.54,13.54,21.36,41.67,4.51,167.7,25.9,174.94,90.94,25.4,46.83,28.21,37.3,86.31,65.99,66.46,133.21,35.92,56.94,94.2,97.29,263.02,329.46,36.55,90.96,7.15,81.04,143.62,39.23,1.23,0.0,2414.9900000000002
100402.0,0.0,3.52,18.21,20.67,61.17,4.54,13.54,21.36,41.67,4.51,167.7,25.9,174.94,90.94,25.4,46.83,28.21,37.3,86.31,65.99,66.46,133.21,35.92,56.94,94.2,97.29,263.02,329.46,36.55,90.96,7.15,81.04,143.62,39.23,1.23,0.0,2414.9900000000002
100403.0,0.0,3.52,18.21,20.67,61.17,4.54,13.54,21.36,41.67,4.51,167.7,25.9,174.94,90.94,25.4,46.83,28.21,37.3,86.31,65.99,66.46,133.21,35.92,56.94,94.2,97.29,263.02,329.46,36.55,90.96,7.15,81.04,143.62,39.23,1.23,0.0,2414.9900000000002
100404.0,0.0,3.52,18.21,20.67,61.17,4.54,13.54,21.36,41.67,4.51,167.7,25.9,174.94,90.94,25.4,46.83,28.21,37.3,86.31,65.99,66.46,133.21,35.92,56.94,94.2,97.29,263.02,329.46,36.55,90.96,7.15,81.04,143.62,39.23,1.23,0.0,2414.9900000000002
