PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,PAT,amenity,name,name:th,layer
30.0,1.0,1.0,นครราชสีมา,NAKHON RATCHASIMA,เมืองนครราชสีมา,MUEANG NAKHON RATCHASIMA,ในเมือง,NAI MUEANG,3001.0,300101.0,courthouse,ศาลเจ้าพ่อเสือ ทุ่งสว่าง,ศาลเจ้าพ่อเสือ ทุ่งสว่าง,
41.0,1.0,18.0,อุดรธานี,UDON THANI,เมืองอุดรธานี,MUEANG UDON THANI,หนองขอนกว้าง,NONG KHON KWANG,4101.0,410118.0,courthouse,สมาคมสร้างคุณค่า สาขา อุดร,สมาคมสร้างคุณค่า สาขา อุดร,
76.0,4.0,1.0,เพชรบุรี,PHETCHABURI,ชะอำ,CHA-AM,ชะอำ,CHA-AM,7604.0,760401.0,courthouse,ศาลปกครองเพชรบุรี,ศาลปกครองเพชรบุรี,
24.0,1.0,11.0,ฉะเชิงเทรา,CHACHOENGSAO,เมืองฉะเชิงเทรา,MUEANG CHACHOENGSAO,วังตะเคียน,WANG TAKHIAN,2401.0,240111.0,courthouse,วัดแพรกวังตะเคียน,วัดแพรกวังตะเคียน,
56.0,1.0,6.0,พะเยา,PHAYAO,เมืองพะเยา,MUEANG PHAYAO,บ้านต๊ำ,BAN TAM,5601.0,560106.0,courthouse,บ้านตามา,บ้านตามา,
50.0,7.0,6.0,เชียงใหม่,CHIANG MAI,แม่ริม,MAE RIM,ห้วยทราย,HUAI SAI,5007.0,500706.0,courthouse,หมู่บ้านสมหวังวิวดอย,หมู่บ้านสมหวังวิวดอย,
30.0,15.0,1.0,นครราชสีมา,NAKHON RATCHASIMA,พิมาย,PHIMAI,ในเมือง,NAI MUEANG,3015.0,301501.0,courthouse,ศาลจังหวัดพิมาย,ศาลจังหวัดพิมาย,
51.0,8.0,2.0,ลำพูน,LAMPHUN,เวียงหนองล่อง,WIANG NONG LONG,หนองยวง,NONG YUANG,5108.0,510802.0,courthouse,บ้านน้าพร อิ๋ว,บ้านน้าพร อิ๋ว,
51.0,8.0,1.0,ลำพูน,LAMPHUN,เวียงหนองล่อง,WIANG NONG LONG,หนองล่อง,NONG LONG,5108.0,510801.0,courthouse,บ้านน้าพรรณ น้องนิว,บ้านน้าพรรณ น้องนิว,
56.0,3.0,7.0,พะเยา,PHAYAO,เชียงคำ,CHIANG KHAM,เวียง,WIANG,5603.0,560307.0,courthouse,บ้านแม่ส่น,,
58.0,1.0,5.0,แม่ฮ่องสอน,MAE HONG SON,เมืองแม่ฮ่องสอน,MUEANG MAE HONG SON,หมอกจำแป่,MOK CHAMPAE,5801.0,580105.0,courthouse,,,
92.0,1.0,1.0,ตรัง,TRANG,เมืองตรัง,MUEANG TRANG,ทับเที่ยง,THAP THIANG,9201.0,920101.0,courthouse,ศาล,,
47.0,1.0,1.0,สกลนคร,SAKON NAKHON,เมืองสกลนคร,MUEANG SAKON NAKHON,ธาตุเชิงชุม,THAT CHOENG CHUM,4701.0,470101.0,courthouse,Sakon Nakhon Provincial Court,,
47.0,1.0,1.0,สกลนคร,SAKON NAKHON,เมืองสกลนคร,MUEANG SAKON NAKHON,ธาตุเชิงชุม,THAT CHOENG CHUM,4701.0,470101.0,courthouse,Sakon Nakhon Juvenile and Family Court,,
34.0,1.0,1.0,อุบลราชธานี,UBON RATCHATHANI,เมืองอุบลราชธานี,MUEANG UBON RATCHATHANI,ในเมือง,NAI MUEANG,3401.0,340101.0,courthouse,Ubon Ratchathani Kwaeng Court,,
34.0,1.0,1.0,อุบลราชธานี,UBON RATCHATHANI,เมืองอุบลราชธานี,MUEANG UBON RATCHATHANI,ในเมือง,NAI MUEANG,3401.0,340101.0,courthouse,Ubon Ratchathani Provincial Court,,
34.0,1.0,1.0,อุบลราชธานี,UBON RATCHATHANI,เมืองอุบลราชธานี,MUEANG UBON RATCHATHANI,ในเมือง,NAI MUEANG,3401.0,340101.0,courthouse,Ubon Ratchathani Juvenile and Family Court,,
33.0,1.0,1.0,ศรีสะเกษ,SI SA KET,เมืองศรีสะเกษ,MUEANG SI SA KET,เมืองเหนือ,MUEANG NUEA,3301.0,330101.0,,,,
33.0,1.0,1.0,ศรีสะเกษ,SI SA KET,เมืองศรีสะเกษ,MUEANG SI SA KET,เมืองเหนือ,MUEANG NUEA,3301.0,330101.0,,,,
41.0,1.0,18.0,อุดรธานี,UDON THANI,เมืองอุดรธานี,MUEANG UDON THANI,หนองขอนกว้าง,NONG KHON KWANG,4101.0,410118.0,courthouse,ศาลเยาวชนและครอบครัว จังหวัดอุดรธานี,ศาลเยาวชนและครอบครัว จังหวัดอุดรธานี,
20.0,6.0,6.0,ชลบุรี,CHON BURI,พนัสนิคม,PHANAT NIKHOM,หมอนนาง,MON NANG,2006.0,200606.0,courthouse,บ้านพี่ติ่ง,,
41.0,1.0,3.0,อุดรธานี,UDON THANI,เมืองอุดรธานี,MUEANG UDON THANI,บ้านขาว,BAN KHAO,4101.0,410103.0,courthouse,,,
34.0,1.0,9.0,อุบลราชธานี,UBON RATCHATHANI,เมืองอุบลราชธานี,MUEANG UBON RATCHATHANI,แจระแม,CHAERAMAE,3401.0,340109.0,courthouse,,,
31.0,1.0,1.0,บุรีรัมย์,BURI RAM,เมืองบุรีรัมย์,MUEANG BURI RAM,ในเมือง,NAI MUEANG,3101.0,310101.0,courthouse,,,
83.0,1.0,1.0,ภูเก็ต,PHUKET,เมืองภูเก็ต,MUEANG PHUKET,ตลาดใหญ่,TALAT YAI,8301.0,830101.0,courthouse,,,
