tumbol_ID,Region,Region_code,region_BKK,region_Central,region_West,region_East,region_North_East,region_North,region_South
130109,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130110,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130111,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130113,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130114,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130203,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130205,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130207,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130251,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130352,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130354,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130402,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130404,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130405,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130406,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130407,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130501,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130503,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130505,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130507,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130551,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130603,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130604,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130606,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130652,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130653,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130654,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130655,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130701,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130702,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130703,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130706,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130707,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130709,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130751,กรุงเทพมหานครและปริมณฑล,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140107,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140108,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140110,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140112,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140113,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140116,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140118,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140120,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140151,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140152,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140202,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140203,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140205,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140206,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140207,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140208,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140209,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140302,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140303,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140304,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140305,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140306,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140307,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140312,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140401,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140405,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
